Start,End,Employer,Position,Focus
2010.291667,2025.791667,National Oceanic and Atmospheric Administration,Research Oceanographer,Apr 2010 - Present: Conduct and advance climate-focused research and collaborations
2009.041667,2010.291667,Joint Institute for Marine and Atmospheric Research,Data Research Specialist,"Jan 2009 - Apr 2010: Analyze, summarize, and visualize oceanographic and ecological data"
2009.625,2009.958333,Kapi_olani Community College,Lecturer,"Aug - Dec 2009: Prepare and deliver introductory oceanography lectures, assignments, and exams"
2006.125,2009.041667,National Oceanic and Atmospheric Administration,Commissioned Officer ,Feb 2006 - Jan 2009: Maritime research operations
